스킬ID,스킬,타겟_범위,타겟_태그
26555,드라마처럼 운명의 상대를 직감하는 순간,"연애상태_싱글, 연애상태_커플",연애_일반
27449,주변 사람들이 보는 나 + 주변 이성들이 보는 나,"연애상태_싱글, 연애상태_커플",
35100,[깜짝 타임세일] 2024년 신년운세 보고서,전체,"신년운세, 종합운"
29323,"그 사람, 나에게 어떤 감정일까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26132,그 사람은 나를 어떤 이미지로 볼까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
43852,[페이백] [1~5단계] 재회 코칭 프리패스,연애상태_싱글,연애_재회
30550,내 운명의 짝은 누구?#결혼운,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
25980,"그 사람과 나, 다시 만날 수 있을까?",연애상태_싱글,"연애_궁합관계, 연애_재회"
25442,지금 내게 꼭 필요한 말은?,"연애상태_싱글, 연애상태_커플",
36221,평행선(짝사랑)📏📏#디오타로,연애상태_싱글,연애_새로운만남
32524,전xx..아직 내 생각 할까?,"연애상태_싱글, 연애상태_커플",
34398,하반기 솔로 연애운,연애상태_싱글,"신년운세, 연애_새로운만남"
33355,"지금, 너도 내가 보고 싶을까?","연애상태_싱글, 연애상태_커플",
26156,그 사람과 나는 어떻게 될까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26230,너랑 결혼하면 어떨까?#궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
28765,난 결국 어떤 사람과 결혼하게 될까?!,"연애상태_싱글, 연애상태_커플",연애_결혼
23092,사주팔자로 알아보는 나의 인생,전체,종합운
44041,[특별 페이백] 2024년 하반기 운세 보고서,전체,"신년운세, 종합운"
21338,(트랙킹용) 2022년 하반기 운세 보고서 부적 5개,전체,"신년운세, 종합운"
25855,그 사람과 오래 갈 수 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36158,"그 사람, 날 좋아하게 될까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
37989,[깜짝 타임세일] 내 운명의 상대,"연애상태_싱글, 연애상태_커플",연애_일반
38962,핵심뉴💘연애운: 새로운 연애 언제 어디서 어떻게 나타날 지! 알려드려요 #새로운연애 #솔로 #싱글 #연애운,연애상태_싱글,연애_새로운만남
22922,90초만에 감정 롤러코스터에서 벗어나는 방법,"연애상태_싱글, 연애상태_커플",연애_속마음
2218,나에게 잘 맞는 알바는?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
29620,그 사람은 나에게 어떤 마음일까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26358,간단 연락운 : 30일 내로 그 사람의 연락이 올까?,연애상태_싱글,"연애_궁합관계, 연애_재회"
33218,"궁합, 잘 맞을까?","연애상태_싱글, 연애상태_커플",연애_궁합관계
34601,재회 속마음 + 곧 보일 결정적 행동,연애상태_싱글,"연애_속마음, 연애_재회"
30324,나는 그 사람에게 어떤 의미일까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26356,이 직장 계속 다녀도 될까?,"연애상태_싱글, 연애상태_커플",학업직업운
29163,즉문즉답⏰연락운편,연애상태_싱글,연애_재회
30710,[재회운] 너와 내가 다시 만날  수 있을까?,연애상태_싱글,연애_재회
30086,그 사람은 나에게 어느 정도 호감이 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
25775,그사람 재회운,연애상태_싱글,연애_재회
25465,지피지기 백전백승 그사람공략법! 💯,"연애상태_싱글, 연애상태_커플",
36440,그 사람과 나의 궁합(겉궁합/속궁합) 🤴🏻👸🏻#타로라포,"연애상태_싱글, 연애상태_커플",연애_궁합관계
30876,💗그 사람의 마음 속 진심을 알려드릴께요. #데아타로,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
25693,나의 운명은 언제 나타날까? 새로운 인연운,연애상태_싱글,연애_새로운만남
31867,그 사람의 (진짜) 진심은 무엇일까요?❓❗#샐리타로,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
31470,그 사람과 언제 다시 만날 수 있을까?,연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_재회"
16435,지금 날 좋아하는 사람은+연애운 높이는 법,"연애상태_싱글, 연애상태_커플",연애_속마음
28864,그 사람도 내가 보고싶을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26142,그사람은 나를 그리워 할까? 다시 만날 수 있을까?,연애상태_싱글,연애_재회
36147,"그 사람은 ""연애상대📍""일까? ""결혼상대💍"" 일까? #수월화타로","연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
11275,가족과 잘 지내는 법,"연애상태_싱글, 연애상태_커플",가족자녀운
33232,앞으로 너에 대한 그 사람의 감정 변화를 알려줄게!,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26377,그 사람 진단서 ✍️📄,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26002,곧 내맘을 뜨겁게 안아줄 새로운 인연은?,연애상태_싱글,연애_새로운만남
36522,현재 썸을 타는 당신의 미래를 알려드려요.💋💍#팩트폭력,연애상태_싱글,연애_새로운만남
18792,2021 태양궁/상승궁 신년운세 + 올해의 카드,전체,신년운세
32099,"바로 지금, 그 사람은 나에게 호감을 느낄까?","연애상태_싱글, 연애상태_커플",연애_궁합관계
31607,"그 사람은 내 생각 언제, 얼마큼 할까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
25826,짝사랑 상대가 날 어떻게 생각할까? 그 사람의 진짜 속마음은?,연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_속마음"
29026,2023년 하반기 연애운♡,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
33621,그 사람은 나와 어떻게 하고 싶을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
39388,"시험, 합격 발표 좋을까? 빨리 나올까?","연애상태_싱글, 연애상태_커플",학업직업운
25074,(추천 할인)내 아이의 타고난 결혼운: 어떤 사람을 데려올까?,"연애상태_싱글, 연애상태_커플","가족자녀운, 연애_결혼, 연애_새로운만남"
28384,"그 사람, 요즘도 내 생각할까? ❤️","연애상태_싱글, 연애상태_커플",연애_궁합관계
25957,간단 썸 연애운 : 30일 내로 썸이 연애로 이어질까?#썸 #연애 #연애운,연애상태_싱글,연애_새로운만남
33151,"그 사람은 나에게 언제, 어떤 모습으로 다가올까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
39158,"[24년 삼일절 연휴] 내 사주로 월 1,000만 원 버는 부업은?","연애상태_싱글, 연애상태_커플",신년운세
39327,(업셀링_결혼OX궁합) 내 운명 지금 어디 있을까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
33593,[짝사랑] 나를 몰래 지켜보는 사람..! 누굴까?,연애상태_싱글,연애_새로운만남
19259,[할로윈 프로모션] 살풀이: 타고난 살과 2022년의 살,전체,신년운세
32973,그 사람에게 당신은 어떤 의미인지 알려줄게요!,"연애상태_싱글, 연애상태_커플",연애_궁합관계
31810,헤어진 그사람 다시 만날 수 있을까?,연애상태_싱글,연애_재회
26017,기다리는 연락이 올까?,연애상태_싱글,연애_재회
25997,나의 새로운 연애 상대는 누구일까? 어디서 만날 수 있을까?,연애상태_싱글,연애_새로운만남
29884,🍏  이직운 궁금해! 🍏,전체,학업직업운
36438,"다시, 사랑하게 될까요? #재회운",연애상태_싱글,연애_재회
42391,너는 왜 그랬을까? 숨은 의미,"연애상태_싱글, 연애상태_커플",
35012,넌 언제쯤 나에게 연락할거니?(재회운) 📞✉️📧#타로샐리,연애상태_싱글,"연애_새로운만남, 연애_재회"
38237,일주 궁합 관계도 3인 패키지,"연애상태_싱글, 연애상태_커플",연애_궁합관계
35219,[재회운] 다시 만나야만 합니다🙏왜 나에게 헤어지자고 말했나요? 나에 대한 미련은 없나요?,연애상태_싱글,연애_재회
32966,{{이름}}에게 맞는 사주속 연애 시기는?,"연애상태_싱글, 연애상태_커플",연애_일반
33283,🍀내 고민 어떻게 해결될까?✨,"연애상태_싱글, 연애상태_커플",
33633,나를 향한 그 사람의 감정과 앞으로 행동은 어떨까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
29199,걔도 지금 나 보고 싶을까? | 그대들의 센세,"연애상태_싱글, 연애상태_커플",연애_속마음
33054,[재회운] 우리 다시 만날 수 있을까?🥂,연애상태_싱글,연애_재회
32756,그 사람이 나에게 보여주지 않은 속마음은 뭘까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
32660,[결혼운]나의 미래배우자는 과연 어떤 사람일까?!,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
26464,나의 대인관계는 어떻게 흘러갈까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26353,내가 좋아하는 그 사람의 속마음을 알 수 있을까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
29918,그 사람은 나에게 어떤 행동변화가 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26815,그 사람과의 운명은 어디로 향하게 될까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26334,"지금 이 순간, 나에 대한 속마음","연애상태_싱글, 연애상태_커플",연애_속마음
29689,"이번에 재회한다면, 잘 만날 수 있을까? ❤️",연애상태_싱글,연애_재회
34142,10카드: 연락 언제 올까? + 재회 속마음,연애상태_싱글,"연애_새로운만남, 연애_속마음, 연애_재회"
34319,그 사람 진짜 속마음과 앞으로의 행동,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
39786,[기간세일] 2024년 갑진년 신년운세 [통합편],전체,"신년운세, 종합운"
28541,그 사람의 나에 대한.. 미련지수는? ❤️,연애상태_싱글,"연애_궁합관계, 연애_재회"
39883,"그사람의 머릿속, 나에 대한 생각들은? 🩷💚","연애상태_싱글, 연애상태_커플",
31636,❤️언제쯤 애인이 생길까요?🔥🔥 #연애시기 #썸 #데아타로,연애상태_싱글,연애_새로운만남
30548,그 사람의 숨겨진 감정은 뭘까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
33622,그 사람은 나에게 어떤 행동을 할까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
43877,[특별페이백] 사주로 보는 결혼 : 그 사람의 본심 👤,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
27874,나에게 다가올 새로운 연인의 모습은? [솔로 연애운],연애상태_싱글,연애_새로운만남
33624,"지금, 그 사람은 나에게 호감이 있을까?","연애상태_싱글, 연애상태_커플",연애_궁합관계
26295,간단 싱글운: 30일 내로 연인이 생길까?,연애상태_싱글,연애_새로운만남
32030,"지금, 그 사람도 나와 같은 마음일까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
33451,너가 궁금했던 그 사람의 속마음은 이거야!,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
32132,그 사람은 재회 할 마음이 있을까요??🧡🙏#셀리타로,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
26155,곧 다가올 {{이름}}님의 새로운 인연은?,연애상태_싱글,연애_새로운만남
41104,"(추천할인) 내 운명의 연애, 몇 번 남았을까?","연애상태_싱글, 연애상태_커플",연애_일반
33225,재회운🌙우리 다시 사랑할 수 있을까?,연애상태_싱글,연애_재회
33613,"날 좋아하는 사람 + 솔탈 언제, 누구와?","연애상태_싱글, 연애상태_커플","연애_새로운만남, 연애_속마음"
26001,당신의 새로운 인연을 소개해 드릴게요,연애상태_싱글,연애_새로운만남
34064,그 사람과 앞으로 어떻게 될까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
2164,2021년 신년운세,전체,신년운세
26149,[재회운] 우리 다시 만날 수 있을까?,연애상태_싱글,연애_재회
33526,🌸이순간 상대방은 어떤 생각을 할까?(3000자~)🌸#타로라포,"연애상태_싱글, 연애상태_커플",
35867,지금 나를 몰래 생각하는 그사람은 누구? [총4000자],"연애상태_싱글, 연애상태_커플",연애_새로운만남
26270,이성이 느끼는 나만의 독보적인 매력은?,"연애상태_싱글, 연애상태_커플",
26026,몰래 내 SNS를 염탐하는 사람은 누구?,"연애상태_싱글, 연애상태_커플",연애_새로운만남
26281,선택 타로: 이 사람 계속 만나도 될까? | 유히로,"연애상태_싱글, 연애상태_커플",
34348,❤️솔탈! 누구와 어떤 연애를 하게될까?😘,"연애상태_싱글, 연애상태_커플",연애_새로운만남
32526,그 사람도 나와 같은 감정을 느낄까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
22098,[궁합 쿠폰 전용] 그 사람과 나의 결혼궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
33631,너만 모르는 그 사람의 진심,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
18301,{{이름}}[[이의/의]] 9월 종합운,"연애상태_싱글, 연애상태_커플",종합운
32195,그 사람에게 나는 어떤 의미일까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34937,"16카드: 속마음과 곧 보일 행동, 두 사람 미래는?","연애상태_싱글, 연애상태_커플",연애_속마음
33519,"그 사람, 왜 연락 안 할까?",연애상태_싱글,"연애_궁합관계, 연애_재회"
31803,💰🛕나에게 곧 다가올 대박 금전운은?  #아이비스타로#금전운,전체,재물금전운
30154,그 사람의 진심 -이별 편-,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음, 연애_재회"
27970,지금 생각나는 그 사람의 진짜 속마음을 알고싶어!,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26337,전 연인 붙잡으면 돌아올까?,연애상태_싱글,연애_재회
37016,당신에게 숨긴 그 남자의 속마음🍷🍺#팩트폭력,"연애상태_싱글, 연애상태_커플",연애_속마음
30679,[얼리버드] 그 운명의 러브 판타지,"연애상태_싱글, 연애상태_커플",연애_일반
20315,(추천할인) 그 사람과 나의 연애 궁합 어떨까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26297,재회에 대한 상대방의 속마음이 궁금해!! #재회운,연애상태_싱글,"연애_속마음, 연애_재회"
31930,대박운이 다가옵니다. 꼭 확인하세요!!🧧💸❤️,"연애상태_싱글, 연애상태_커플",재물금전운
19041,次の恋、いつどこでどんな風に始まる？,"연애상태_싱글, 연애상태_커플",
17344,성격궁합 보고서,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 종합운"
30907,요즘 날 몰래 좋아하고 있는 사람이 있을까?!,"연애상태_싱글, 연애상태_커플",
29756,"그 사람, 먼저 연락 해올까?",연애상태_싱글,"연애_궁합관계, 연애_재회"
42424,내가 짝사랑🩷하는 그 사람의 속마음과 미래는?,연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_속마음"
33123,썸타고 있는 그 사람의 속마음과 앞으로의 관계 흐름💖,연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_속마음"
36098,그 사람과 나의 궁합은?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
39328,(업셀링_결혼OX궁합) 도화살 결혼운: 나는 결혼하면 잘 살까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
37342,"총15장!! 2024년 1~12월별운세, 액운, 대운, 연애운까지!! [총15,000자] 갑진년, 청룡의 해 새해운세 이거 하나면 됩니다.","연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
26190,지금 이 순간 너의 진짜 속마음 꿰뚫기⚡️,"연애상태_싱글, 연애상태_커플",연애_속마음
2341,이번 여행운은 어때?,"연애상태_싱글, 연애상태_커플",
27378,결혼 OX 궁합: 이 사람과 결혼해도 될까?_결제,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
33614,속마음 3가지 + 1년뒤 관계는?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
34710,[총4000자] 이미 점지되어진 운명적인 인연의 성향과 두사람의 이야기 🙏,"연애상태_싱글, 연애상태_커플",연애_일반
32393,[재회운] 그대와 다시 시작할 수 있을까?,연애상태_싱글,연애_재회
25661,내가 좋아하는 상대가 나를 원하게 하는 방법,"연애상태_싱글, 연애상태_커플",
26468,우리는 어떤 인연일까?,"연애상태_싱글, 연애상태_커플",연애_일반
39322,[깜짝 타임세일] 그 사람과 나의 결혼 궁합 + 속 궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
28139,지금 날 진정 좋아하고 있는 사람이 있을까?,"연애상태_싱글, 연애상태_커플",
25787,궁금한 그 사람의 속마음은?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
25174,그 사람 지금 내 생각 하고 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
31271,지금 그 사람도 내가 보고 싶을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
32928,{{이름}}님의 마음을 흔드는 그 사람의 속마음🌙,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
32364,"😍내가 좋은 이유: 그 사람이 날 좋아하는 이유- 긍정적인 면, 부정적인 면👩‍❤️‍👨앞으로의 관계운까지 #커플 #짝사랑 #썸 #이별 #재회까지 (7카드, 8500자)",연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_속마음, 연애_재회"
33493,[속마음] 알다가도 모를 그 사람...현재 무슨 생각을 하고 있는걸까?😞😞 #샐리타로,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
38470,그 사람 먼저 연락을 해 올까?,연애상태_싱글,"연애_궁합관계, 연애_재회"
35708,🌸나에게 다가올 연락운과 재회운은?🌸#타로라포,연애상태_싱글,연애_재회
19363,2022년 신년운세 보고서(LITE 인트로 전환),전체,"신년운세, 종합운"
27117,"지금 이 순간, 당신을 좋아하고 있는 사람❗","연애상태_싱글, 연애상태_커플",
34312,"그대의 운명, 그사람의 운명, 우리 둘의 운명은?","연애상태_싱글, 연애상태_커플",연애_일반
43086,[히든스킬] 2024년 하반기 운세 보고서,전체,"신년운세, 종합운"
34702,재회운: 그 사람도 내 생각 할까?,연애상태_싱글,"연애_궁합관계, 연애_재회"
33625,앞으로 그 사람과 나의 연애운은 어떨까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
46681,"💘연애시기운🐈 : 운명의 인연 언제 들어올까?솔로 탈출하는 날짜!  1카드, 3000자 / 명확하게 내 연애가 시작될 그 시기만 똑부러지게 알려드려요 😸💜",연애상태_싱글,연애_새로운만남
33620,"계속 좋아하면 어떻게 될지, 짝사랑 조언",연애상태_싱글,연애_새로운만남
31806,💔❤그사람 다시 만날수 있을까요?(재회운) #데아타로,연애상태_싱글,연애_재회
29202,다가올 인연의 외모·성격·직업은? | 그대들의 센세,"연애상태_싱글, 연애상태_커플","연애_일반, 학업직업운"
31908,[재회운] 우리 다시 시작할 수 있을까?,연애상태_싱글,연애_재회
26363,지금 그 사람 어떻게 지내고 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
31609,나에 대한 너의 솔직한 감정을 알고싶어,"연애상태_싱글, 연애상태_커플",연애_속마음
38142,"[깜짝 타임세일] 다음 연애 언제, 어디서 시작될까?","연애상태_싱글, 연애상태_커플",연애_새로운만남
25856,나의 새로운 사랑은 언제 싹틀까?,연애상태_싱글,연애_새로운만남
35627,지금 그 사람의 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
34439,미운 그사람의 속마음... 나에게 돌아오게 하려면? 그리고 그사람은 연인이 있을까요? 우리는 어떻게 될까요?,"연애상태_싱글, 연애상태_커플","연애_속마음, 연애_재회"
32460,💖이성들이 끌려하는 나의 매력은?,"연애상태_싱글, 연애상태_커플",
31800,🌹그사람에게 내마음을 고백해도 될까요? #짝사랑 #디오타로,연애상태_싱글,"연애_새로운만남, 연애_속마음"
25973,새로운 인연 만날 수 있을까?,연애상태_싱글,연애_새로운만남
26056,먼저 다가갈까? 기다릴까...?,"연애상태_싱글, 연애상태_커플",
22228,[CRM 히든] 오행五行으로 보는 성격 특징,"연애상태_싱글, 연애상태_커플",
31140,🌸결국 나를 사랑하게 될 그사람 🌸  #속마음,"연애상태_싱글, 연애상태_커플",연애_속마음
31072,타인이 보는 나의 이미지는?,"연애상태_싱글, 연애상태_커플",
29919,그 사람은 나와 함께 사랑할 계획을 갖고 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
35894,우리가 다시 만날 수 있을까?,연애상태_싱글,연애_재회
34776,🤞내게 반드시 다가올 행운!🍀,"연애상태_싱글, 연애상태_커플",
30676,[얼리버드] 내 운명의 숨겨진 방향성,"연애상태_싱글, 연애상태_커플",연애_일반
24637,나는 부자가 될 가능성을 가지고 있을까?,전체,재물금전운
43645,"그 두 사람, 언제 헤어질까? 누가 더 좋아할까?","연애상태_싱글, 연애상태_커플","연애_새로운만남, 연애_속마음"
36420,[깜짝 타임세일B] 내 사주 속 최고의 겉궁합 VS 속궁합 상대는?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26326,올해 연애운이 어떨까?,"연애상태_싱글, 연애상태_커플",연애_일반
39355,그 사람과 나의 인연은 어디까지일까?(3700자이상)❤️🤔 #타로라포,"연애상태_싱글, 연애상태_커플",연애_궁합관계
33184,연상?연하?내 운명의 상대는?,"연애상태_싱글, 연애상태_커플",연애_일반
33220,그 사람이 숨겨왔던 속마음을 얘기해 줄게요!,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
28269,나에게도 연인이 생길까?,연애상태_싱글,연애_새로운만남
28865,너의 속마음을 알고 싶어❕,"연애상태_싱글, 연애상태_커플",연애_속마음
19174,2학기 성적 어떻게 될까?,"연애상태_싱글, 연애상태_커플",
22459,[CRM 히든] 3개월 안에 애인,"연애상태_싱글, 연애상태_커플",
31807,"[직장운] 지금 다니는 직장, 일을 계속 해야할까?","연애상태_싱글, 연애상태_커플",학업직업운
39334,(업셀링_인생역전) 타고난 부: 내 사주로 평생 모을 재산은?,전체,재물금전운
28270,그 사람은 날 어떻게 생각하고 있을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26065,그 사람의 진짜 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
38563,[속마음&재회] 카톡켜고 고민하는 그사람의 진심,연애상태_싱글,"연애_속마음, 연애_재회"
32294,[인연운] 나를 곧 좋아하게 될 사람❗,"연애상태_싱글, 연애상태_커플",연애_일반
34700,"😍beloved: 나를 아낌없이 사랑해주는 이 있을까?🍒그 사람일까? 누구이고 어떤 사람일까? 나에 대한 이미지, 감정, 앞으로의 관계운,시기 조언까지 (6카드 8300자)","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남, 연애_속마음"
30808,2025 하반기 솔로 연애운,연애상태_싱글,"신년운세, 연애_새로운만남"
19525,"2022년의 인연, 언제 어떻게 찾아올까? (하바별타 할인전용)","연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
34393,"이별, 만남 그리고 재회 속마음",연애상태_싱글,"연애_속마음, 연애_재회"
42230,"간단 이직운 🗂️ 한 달 내로 이직할 수 있을까? 이직 가능여부와 된다면 만족도는 어떤 지까지!(1카드,3400자)",전체,학업직업운
33634,그 사람과 이때 관계 변화가 있을거예요!,"연애상태_싱글, 연애상태_커플",연애_궁합관계
26339,내게 퐁당 빠진 이성은?,"연애상태_싱글, 연애상태_커플",
39916,"구페 vs 뉴페 💚 재회 vs 새로운 인연 🩷 어떻게, 언제? 다가올까?",연애상태_싱글,"연애_새로운만남, 연애_재회"
36665,재회의 마음이 있을까?,연애상태_싱글,"연애_속마음, 연애_재회"
32999,요즘 {{이름}}님을 몰래 좋아하고 있는 사람🌙,"연애상태_싱글, 연애상태_커플",
34692,그 사람 4가지 진심 + 곧 보일 행동은?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
29198,이별 실감: 우리가 헤어진 진짜 이유 | 그대들의 센세,연애상태_싱글,연애_재회
39592,[깜짝 타임세일] 솔로탈출 패키지: 솔탈확률 + 3개월 연애운,연애상태_싱글,연애_새로운만남
26369,"[챠미타로] 그 일(연애, 직장, 학업)의 결과는 어떻게 될까?","연애상태_싱글, 연애상태_커플","연애_일반, 학업직업운"
36140,3개월 내에 찾아올 나의 인연은? [총4000자],"연애상태_싱글, 연애상태_커플",연애_일반
26367,나의 재물운은 언제가 가장 전성기일까? 💰,전체,재물금전운
31039,알고 싶은 그사람 속마음_ 나에게 바라는 것,"연애상태_싱글, 연애상태_커플",연애_속마음
36631,[본 스킬] 3개 구매자 추가 할인,"연애상태_싱글, 연애상태_커플",
32992,23년 하반기에 일어날 수 있는 일,"연애상태_싱글, 연애상태_커플",신년운세
36663,나 이직해도 괜찮을까?,전체,학업직업운
28181,걔는 나를 연애 상대로 볼까? | 그대들의 센세,"연애상태_싱글, 연애상태_커플",연애_일반
32157,자꾸 생각나는 그 사람의 속마음🌙,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26400,내 SNS 염탐할까?,"연애상태_싱글, 연애상태_커플",
28598,나의 하반기 운세는?,"연애상태_싱글, 연애상태_커플",신년운세
26366,그 사람이 연락이 없는 진짜 이유,연애상태_싱글,"연애_궁합관계, 연애_재회"
23850,감정 카드: 색으로 보는 오늘 내 기분은?,"연애상태_싱글, 연애상태_커플",연애_속마음
39785,[기간세일] 2024년 신년운세 보고서,전체,"신년운세, 종합운"
49981,[히든 할인] 2025 을사년 운세: 사랑과 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
31866,그사람의 속마음을 알고싶어요...🔑🧡#데아타로,"연애상태_싱글, 연애상태_커플",연애_속마음
38236,일주 궁합 관계도 1인 패키지,"연애상태_싱글, 연애상태_커플",연애_궁합관계
35991,재회운: 숨겨진 진심과 재회 가능성,연애상태_싱글,"연애_속마음, 연애_재회"
26551,❤️난 살면서 몇번의 연애를 하게 될까?,"연애상태_싱글, 연애상태_커플",연애_일반
39818,이직할까? 그냥 이 직장 다닐까?,전체,학업직업운
33153,100% 정확한 상대의 속마음 사주풀이,"연애상태_싱글, 연애상태_커플",연애_속마음
32958,재회운...💜그 사람이 진짜 내게 하고 싶었던 말이 있었을까? 💜#수월화타로,연애상태_싱글,"연애_궁합관계, 연애_재회"
37805,우리 인연 아직 남아있을까?,"연애상태_싱글, 연애상태_커플",연애_일반
25972,그 사람의 속마음을 알고 싶어요!,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
25962,3개월 이내에 나타날 새로운 인연은?,연애상태_싱글,연애_새로운만남
34738,"다시 만날 수 있을까? 그사람은 도대체 뭘 원하고, 어떻게 행동할까?",연애상태_싱글,연애_재회
33524,그 사람이 나에게 표현하지 못한 감정은 뭘까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
25069,내 아이의 결혼운: 어떤 사람을 데려올까? (연속구매 할인),"연애상태_싱글, 연애상태_커플","가족자녀운, 연애_결혼, 연애_새로운만남"
25444,"2023년, 당신이 만날 수 있는 최상의 인연💗","연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
33601,"매일 내 프로필을 보는, 그 사람 누굴까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
26603,"앞으로 3개월, 나는 솔로탈출 할 수 있을까?",연애상태_싱글,연애_새로운만남
18301,{{이름}}[[이의/의]] 11월 종합운,"연애상태_싱글, 연애상태_커플",종합운
35700,이별 재회운: 그 사람 재회 속마음,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
28367,그 사람은 나에게 어떤 감정일까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
